pcount,scount,party,name,colour
2.0,39.0,Labour,"Docherty, Thomas",red
0.0,5.0,Labour/Co-operative,"Dodds, Anneliese",pink
9.0,2145.0,DUP,"Dodds, Nigel",grey
0.0,3.0,Sinn F?in,"Doherty, Pat",grey
10.0,0.0,,"Donaldson, Jeffrey",black
0.0,1070.0,DUP,"Donaldson, Jeffrey M.",grey
4.0,678.0,Scottish National Party,"Donaldson, Stuart",yellow
0.0,1.0,Labour,"Donohoe, Brian H",red
4.0,768.0,Labour,"Doran, Frank",red
0.0,9.0,Conservative,"Dorrell, Stephen",blue
2.0,32.0,Conservative,"Dorries, Nadine",blue
5.0,178.0,Labour/Co-operative,"Doughty, Stephen",pink
8.0,687.0,Labour,"Dowd, Jim",red
0.0,20.0,Labour,"Dowd, Peter",red
0.0,26.0,Labour,"Doyle, Gemma",red
0.0,5.0,Conservative,"Doyle-Price, Jackie",blue
0.0,39.0,Conservative,"Drax, Richard",blue
0.0,46.0,Labour,"Drew, David",red
3.0,78.0,Labour,"Dromey, Jack",red
1.0,1.0,Conservative,"Duddridge, James",blue
0.0,4.0,Labour,"Duffield, Rosie",red
1.0,103.0,Labour,"Dugher, Michael",red
1.0,7.0,Conservative,"Duncan, Alan",blue
45.0,3774.0,Social Democratic and Labour Party,"Durkan, Mark",grey
0.0,82.0,Labour,"Eagle, Angela",red
1.0,61.0,Labour,"Eagle, Maria",red
55.0,1991.0,Plaid Cymru,"Edwards, Jonathan",grey
5.0,161.0,Labour,"Efford, Clive",red
0.0,97.0,Labour,"Elliott, Julie",red
8.0,207.0,UUP,"Elliott, Tom",grey
0.0,1.0,Conservative,"Ellison, Jane",blue
10.0,419.0,Labour,"Ellman, Louise",red
1.0,3.0,Conservative,"Ellwood, Tobias",blue
1.0,22.0,Labour,"Elmore, Chris",red
0.0,1.0,Conservative,"Elphicke, Charlie",blue
8.0,293.0,Labour,"Engel, Natascha",red
2.0,710.0,Labour,"Esterson, Bill",red
0.0,4.0,Conservative,"Eustice, George",blue
4.0,334.0,Labour,"Evans, Chris",red
1.0,5.0,Conservative,"Evans, Graham",blue
2.0,100.0,Conservative,"Evans, Jonathan",blue
19.0,229.0,Conservative,"Evans, Nigel",blue
0.0,2.0,Conservative,"Evennett, David",blue
1.0,4.0,Conservative,"Fabricant, Michael",blue
0.0,4.0,Conservative,"Fallon, Michael",blue
7.0,344.0,Labour,"Farrelly, Paul",red
0.0,574.0,Liberal Democrat,"Farron, Tim",orange
127.0,0.0,,"Farron, Timothy",black
16.0,752.0,Scottish National Party,"Fellows, Marion",yellow
37.0,796.0,Scottish National Party,"Ferrier, Margaret",yellow
24.0,495.0,Labour,"Field, Frank",red
11.0,56.0,Conservative,"Field, Mark",blue
19.0,201.0,Labour,"Fitzpatrick, Jim",red
0.0,439.0,Labour,"Flello, Rob",red
27.0,0.0,,"Flello, Robert",black
2.0,77.0,Labour,"Fletcher, Colleen",red
1.0,17.0,Labour,"Flint, Caroline",red
180.0,3406.0,Labour,"Flynn, Paul",red
4.0,268.0,Liberal Democrat,"Foster, Don",orange
7.0,240.0,Labour,"Fovargue, Yvonne",red
0.0,5.0,Conservative,"Fox, Liam",blue
0.0,53.0,Labour,"Foxcroft, Vicky",red
11.0,782.0,Labour,"Francis, Hywel",red
0.0,1.0,Conservative,"Freeman, George",blue
0.0,2.0,Conservative,"Freer, Mike",blue
0.0,5.0,Labour,"Frith, James",red
0.0,2.0,Conservative,"Fullbrook, Lorraine",blue
1.0,13.0,Labour,"Furniss, Gill",red
0.0,1.0,Conservative,"Fysh, Marcus",blue
0.0,11.0,Labour,"Gaffney, Hugh",red
1.0,3.0,Conservative,"Gale, Roger",blue
249.0,1323.0,Respect,"Galloway, George",grey
13.0,1231.0,Labour,"Gapes, Mike",red
17.0,128.0,Labour,"Gardiner, Barry",red
0.0,1.0,Conservative,"Garnier, Edward",blue
0.0,3.0,Conservative,"Garnier, Mark",blue
31.0,2358.0,Liberal Democrat,"George, Andrew",orange
43.0,931.0,Scottish National Party,"Gethins, Stephen",yellow
43.0,485.0,Scottish National Party,"Gibson, Patricia",yellow
12.0,306.0,Liberal Democrat,"Gilbert, Stephen",orange
0.0,1.0,Labour/Co-operative,"Gill, Preet Kaur",pink
0.0,3.0,Conservative,"Gillan, Cheryl",blue
9.0,428.0,Labour,"Gilmore, Sheila",red
0.0,7.0,DUP,"Girvan, Paul",grey
9.0,453.0,Labour,"Glass, Pat",red
0.0,1.0,Conservative,"Glen, John",blue
26.0,2657.0,Labour,"Glindon, Mary",red
112.0,2514.0,Labour,"Godsiff, Roger",red
1.0,239.0,Labour,"Goggins, Paul",red
20.0,225.0,Conservative,"Goldsmith, Zac",blue
22.0,273.0,Labour,"Goodman, Helen",red
62.0,1091.0,Scottish National Party,"Grady, Patrick",yellow
0.0,3.0,Conservative,"Grant, Helen",blue
12.0,492.0,Scottish National Party,"Grant, Peter",yellow
7.0,556.0,Conservative,"Gray, James",blue
13.0,916.0,Scottish National Party,"Gray, Neil",yellow
3.0,81.0,Labour,"Greatrex, Tom",red
0.0,1.0,Conservative,"Green, Damian",blue
18.0,332.0,Labour,"Green, Kate",red
2.0,75.0,Labour,"Greenwood, Lilian",red
0.0,22.0,Labour,"Greenwood, Margaret",red
0.0,5.0,Conservative,"Grieve, Dominic",blue
1.0,132.0,Labour,"Griffith, Nia",red
6.0,38.0,Conservative,"Griffiths, Andrew",blue
0.0,5.0,Labour,"Grogan, John",red
0.0,2.0,Conservative,"Gummer, Ben",blue
3.0,232.0,Labour,"Gwynne, Andrew",red
1.0,2.0,Conservative,"Gyimah, Sam",blue
2.0,30.0,Labour,"Haigh, Louise",red
2.0,76.0,Labour,"Hain, Peter",red
202.0,442.0,Conservative,"Halfon, Robert",blue
2.0,141.0,Liberal Democrat,"Hames, Duncan",orange
1.0,210.0,Labour,"Hamilton, David",red
26.0,521.0,Labour,"Hamilton, Fabian",red
0.0,3.0,Conservative,"Hammond, Stephen",blue
1.0,6.0,Conservative,"Hancock, Matthew",blue
44.0,4093.0,Liberal Democrat,"Hancock, Mike",orange
0.0,1.0,Conservative,"Hands, Greg",blue
5.0,92.0,Labour,"Hanson, David",red
0.0,16.0,Labour,"Hardy, Emma",red
8.0,44.0,Labour,"Harman, Harriet",red
0.0,49.0,Labour,"Harpham, Harry",red
1.0,14.0,Conservative,"Harrington, Richard",blue
5.0,51.0,Labour,"Harris, Carolyn",red
7.0,203.0,Labour,"Harris, Tom",red
7.0,237.0,Liberal Democrat,"Harvey, Nick",orange
2.0,417.0,Labour,"Havard, Dai",red
2.0,121.0,Labour,"Hayes, Helen",red
0.0,25.0,Labour,"Hayman, Sue",red
1.0,43.0,Conservative,"Heald, Oliver",blue
1.0,41.0,Labour,"Healey, John",red
97.0,1414.0,Liberal Democrat,"Hemming, John",orange
10.0,345.0,Conservative,"Henderson, Gordon",blue
10.0,143.0,Labour,"Hendrick, Mark",red
0.0,31.0,Conservative,"Hendry, Charles",blue
25.0,1265.0,Scottish National Party,"Hendry, Drew",yellow
15.0,1004.0,Labour,"Hepburn, Stephen",red
0.0,2358.0,UUP,"Hermon, Sylvia",grey
1.0,581.0,Labour,"Heyes, David",red
0.0,34.0,Labour,"Hill, Mike",red
1.0,10.0,Labour,"Hillier, Meg",red
2.0,203.0,Labour,"Hilling, Julie",red
0.0,2.0,Conservative,"Hinds, Damian",blue
0.0,1.0,Conservative,"Hoare, Simon",blue
0.0,1.0,Conservative,"Hoban, Mark",blue
0.0,2.0,Liberal Democrat,"Hobhouse, Wera",orange
2.0,217.0,Labour,"Hodge, Margaret",red
5.0,173.0,Labour,"Hodgson, Sharon",red
41.0,542.0,Labour,"Hoey, Kate",red
0.0,59.0,Labour,"Hollern, Kate",red
0.0,2.0,Conservative,"Hollingbery, George",blue
0.0,3.0,Conservative,"Hollinrake, Kevin",blue
1.0,1.0,Conservative,"Hollobone, Philip",blue
0.0,8.0,Conservative,"Holloway, Adam",blue
0.0,519.0,Labour,"Hood, Jimmy",red
60.0,4653.0,Labour,"Hopkins, Kelvin",red
21.0,416.0,Liberal Democrat,"Horwood, Martin",orange
10.0,283.0,Scottish National Party,"Hosie, Stewart",yellow
31.0,1110.0,Labour,"Howarth, George",red
0.0,43.0,Conservative,"Howarth, Gerald",blue
1.0,5.0,Conservative,"Howell, John",blue
2.0,4.0,Labour,"Hoyle, Lindsay",red
14.0,348.0,Liberal Democrat,"Hughes, Simon",orange
0.0,44.0,Liberal Democrat,"Huhne, Christopher",orange
0.0,1.0,Conservative,"Hunt, Jeremy",blue
3.0,212.0,Labour,"Hunt, Tristram",red
2.0,150.0,Liberal Democrat,"Hunter, Mark",orange
70.0,801.0,Liberal Democrat,"Huppert, Julian",orange
1.0,57.0,Labour,"Huq, Rupa",red
1.0,2.0,Conservative,"Hurd, Nick",blue
3.0,92.0,Labour,"Hussain, Imran",red
0.0,658.0,Labour,"Illsley, Eric",red
1.0,25.0,Labour,"Irranca-Davies, Huw",red
4.0,1314.0,Labour,"Jackson, Glenda",red
1.0,73.0,Conservative,"Jackson, Stewart",blue
0.0,1.0,Conservative,"James, Margot",blue
2.0,0.0,,"James, Sian C",black
0.0,124.0,Labour,"James, Si?n",red
4.0,275.0,Labour,"Jamieson, Cathy",red
0.0,10.0,Liberal Democrat,"Jardine, Christine",orange
0.0,74.0,Labour,"Jarvis, Dan",red
0.0,2.0,Conservative,"Javid, Sajid",blue
6.0,41.0,Conservative,"Jenkin, Bernard",blue
0.0,3.0,Conservative,"Jenkyns, Andrea",blue
0.0,3.0,Conservative,"Jenrick, Robert",blue
10.0,0.0,,"Jnr, Ian Paisley",black
4.0,101.0,Labour,"Johnson, Alan",red
0.0,1.0,Conservative,"Johnson, Boris",blue
2.0,0.0,,"Johnson, Diana R",black
0.0,73.0,Labour,"Johnson, Diana R.",red
1.0,2.0,Conservative,"Johnson, Gareth",blue
0.0,11.0,Conservative,"Johnson, Jo",blue
0.0,2.0,Conservative,"Jones, Andrew",blue
0.0,6.0,Conservative,"Jones, David",blue
1.0,55.0,Labour,"Jones, Gerald",red
6.0,148.0,Labour,"Jones, Graham",red
0.0,6.0,Labour,"Jones, Helen",red
6.0,99.0,Labour,"Jones, Kevan",red
1.0,68.0,Conservative,"Jones, Marcus",blue
0.0,4.0,Labour,"Jones, Sarah",red
2.0,59.0,Labour,"Jones, Susan Elan",red
0.0,96.0,Labour,"Jowell, Tessa",red
14.0,147.0,Labour,"Joyce, Eric",red
0.0,15.0,Labour,"Kane, Mike",red
30.0,493.0,Labour,"Kaufman, Gerald",red
13.0,29.0,Conservative,"Kawczynski, Daniel",blue
0.0,21.0,Labour,"Keeley, Barbara",red
3.0,161.0,Labour,"Keen, Alan",red
0.0,1.0,Conservative,"Kelly, Chris",blue
2.0,19.0,Labour,"Kendall, Liz",red
4.0,246.0,Liberal Democrat,"Kennedy, Charles",orange
18.0,331.0,Scottish National Party,"Kerevan, George",yellow
4.0,208.0,Scottish National Party,"Kerr, Calum",yellow
0.0,1.0,Conservative,"Kerr, Stephen",blue
0.0,2.0,Labour,"Khan, Afzal",red
1.0,19.0,Labour,"Khan, Sadiq",red
0.0,6.0,Labour/Co-operative,"Killen, Gerard",pink
14.0,295.0,UUP,"Kinahan, Danny",grey
0.0,121.0,Labour,"Kinnock, Stephen",red
1.0,93.0,Conservative,"Kirby, Simon",blue
2.0,108.0,Conservative,"Knight, Greg",blue
0.0,1.0,Conservative,"Knight, Julian",blue
0.0,10.0,Labour,"Kyle, Peter",red
5.0,73.0,Conservative,"Laing, Eleanor",blue
2.0,35.0,Plaid Cymru,"Lake, Ben",grey
26.0,133.0,Liberal Democrat,"Lamb, Norman",orange
16.0,212.0,Labour,"Lammy, David",red
1.0,1.0,Conservative,"Lamont, John",blue
1.0,8.0,Conservative,"Lancaster, Mark",blue
0.0,2.0,Conservative,"Latham, Pauline",blue
42.0,1409.0,Labour,"Lavery, Ian",red
33.0,1702.0,Scottish National Party,"Law, Chris",yellow
0.0,19.0,Liberal Democrat,"Laws, David",orange
9.0,584.0,Labour,"Lazarowicz, Mark",red
0.0,2.0,Conservative,"Leadsom, Andrea",blue
0.0,16.0,Conservative,"Lee, Jessica",blue
115.0,3274.0,Liberal Democrat,"Leech, John",orange
1.0,53.0,Conservative,"Lefroy, Jeremy",blue
5.0,168.0,Conservative,"Leigh, Edward",blue
10.0,65.0,Conservative,"Leslie, Charlotte",blue
0.0,46.0,Labour,"Leslie, Chris",red
2.0,0.0,,"Leslie, Christopher",black
0.0,2.0,Conservative,"Letwin, Oliver",blue
2.0,73.0,Labour,"Lewell-Buck, Emma",red
0.0,2.0,Conservative,"Lewis, Brandon",blue
3.0,136.0,Labour,"Lewis, Clive",red
1.0,38.0,Labour,"Lewis, Ivan",red
8.0,806.0,Conservative,"Lewis, Julian",blue
0.0,5.0,Conservative,"Liddell-Grainger, Ian",blue
0.0,39.0,Conservative,"Lilley, Peter",blue
2.0,102.0,Scottish National Party,"Linden, David",yellow
0.0,3.0,DUP,"Little Pengelly, Emma",grey
1.0,0.0,,Liz,black
29.0,434.0,Liberal Democrat,"Lloyd, Stephen",orange
19.0,886.0,Labour,"Lloyd, Tony",red
54.0,2055.0,Plaid Cymru,"Llwyd, Elfyn",grey
15.0,1700.0,Alliance,"Long, Naomi",grey
0.0,29.0,Labour,"Long-Bailey, Rebecca",red
4.0,55.0,Conservative,"Lopresti, Jack",blue
0.0,4.0,Conservative,"Lord, Jonathan",blue
0.0,1.0,Conservative,"Loughton, Tim",blue
12.0,446.0,Labour,"Love, Andrew",red
162.0,2582.0,Green,"Lucas, Caroline",green
1.0,92.0,Labour,"Lucas, Ian",red
1.0,2.0,Conservative,"Luff, Peter",blue
0.0,4.0,Conservative,"Lumley, Karen",blue
0.0,9.0,Labour,"Lynch, Holly",red
31.0,1515.0,Scottish National Party,"MacNeil, Angus",yellow
2.0,32.0,Labour,"MacShane, Denis",red
0.0,3.0,Conservative,"Macleod, Mary",blue
5.0,180.0,Labour,"Mactaggart, Fiona",red
2.0,45.0,Labour,"Madders, Justin",red
0.0,110.0,Labour,"Mahmood, Khalid",red
1.0,34.0,Labour,"Mahmood, Shabana",red
16.0,177.0,Conservative,"Main, Anne",blue
0.0,5.0,Conservative,"Mak, Alan",blue
0.0,58.0,Labour/Co-operative,"Malhotra, Seema",pink
111.0,525.0,Labour,"Mann, John",red
0.0,7.0,Conservative,"Mann, Scott",blue
0.0,1.0,Labour,"Marris, Rob",red
20.0,625.0,Labour,"Marsden, Gordon",red
1.0,14.0,Labour,"Martin, Sandy",red
7.0,438.0,Labour/Co-operative,"Maskell, Rachael",pink
1.0,1.0,Conservative,"Masterton, Paul",blue
4.0,165.0,Labour,"Matheson, Chris",red
1.0,32.0,Conservative,"Mathias, Tania",blue
15.0,274.0,Labour,"McCabe, Steve",red
7.0,315.0,Scottish National Party,"McCaig, Callum",yellow
0.0,2.0,Labour,"McCann, Michael",red
2.0,203.0,Labour,"McCarthy, Kerry",red
0.0,5.0,Conservative,"McCartney, Jason",blue
5.0,98.0,Conservative,"McCartney, Karl",blue
0.0,2.0,Labour,"McClymont, Gregg",red
6.0,0.0,,"McCrea, Dr William",black
0.0,2157.0,DUP,"McCrea, William",grey
9.0,161.0,Labour,"McDonagh, Siobhain",red
3.0,0.0,,"McDonald, Andrew",black
0.0,143.0,Labour,"McDonald, Andy",red
19.0,555.0,Scottish National Party,"McDonald, Stewart",yellow
10.0,394.0,Scottish National Party,"McDonald, Stuart",yellow
2.0,2541.0,Social Democratic and Labour Party,"McDonnell, Alasdair",grey
245.0,0.0,,"McDonnell, John",black
0.0,4272.0,Labour,"McDonnell, John Martin",red
15.0,936.0,Scottish National Party,"McGarry, Natalie",yellow
1.0,78.0,Labour,"McGinn, Conor",red
10.0,220.0,Labour,"McGovern, Alison",red
23.0,1368.0,Labour,"McGovern, Jim",red
3.0,115.0,Labour,"McGuire, Anne",red
3.0,383.0,Labour,"McInnes, Liz",red
1.0,13.0,Conservative,"McIntosh, Anne",blue
1.0,49.0,Labour,"McKechin, Ann",red
4.0,140.0,,"McKenzie, Iain",black
5.0,193.0,Labour,"McKinnell, Catherine",red
24.0,513.0,Scottish National Party,"McLaughlin, Anne",yellow
0.0,5.0,Labour/Co-operative,"McMahon, Jim",pink
1.0,8.0,Labour,"McMorrin, Anna",red
8.0,977.0,Scottish National Party,"McNally, John",yellow
1.0,7.0,Conservative,"McPartland, Stephen",blue
0.0,9.0,Conservative,"McVey, Esther",blue
6.0,286.0,Labour,"Meacher, Michael",red
244.0,5490.0,Labour,"Meale, Alan",red
63.0,1204.0,Labour,"Mearns, Ian",red
1.0,9.0,Conservative,"Mensch, Louise",blue
0.0,5.0,Conservative,"Menzies, Mark",blue
4.0,45.0,Conservative,"Mercer, Patrick",blue
10.0,101.0,Conservative,"Metcalfe, Stephen",blue
13.0,148.0,Labour,"Michael, Alun",red
0.0,21.0,Labour,"Miliband, David",red
0.0,27.0,Labour,"Miliband, Ed",red
15.0,0.0,,"Miliband, Edward",black
19.0,392.0,Labour,"Miller, Andrew",red
0.0,4.0,Conservative,"Miller, Maria",blue
0.0,1.0,Conservative,"Milling, Amanda",blue
0.0,8.0,Conservative,"Mills, Nigel",blue
1.0,7.0,Conservative,"Mitchell, Andrew",blue
51.0,427.0,Labour,"Mitchell, Austin",red
15.0,939.0,Scottish National Party,"Monaghan, Carol",yellow
99.0,1264.0,Scottish National Party,"Monaghan, Paul",yellow
0.0,1.0,Labour,"Moon, Madeleine",red
0.0,1.0,Liberal Democrat,"Moore, Michael",orange
2.0,17.0,Liberal Democrat,"Moran, Layla",orange
8.0,191.0,Conservative,"Mordaunt, Penny",blue
4.0,285.0,Labour,"Morden, Jessica",red
0.0,9.0,Labour,"Morgan, Stephen",red
26.0,843.0,Labour,"Morrice, Graeme",red
157.0,499.0,Conservative,"Morris, David",blue
48.0,1466.0,Labour,"Morris, Grahame",red
0.0,6.0,Conservative,"Morris, James",blue
0.0,9.0,Conservative,"Mosley, Stephen",blue
7.0,92.0,Conservative,"Mowat, David",blue
1.0,438.0,Labour,"Mudie, George",red
265.0,1098.0,Liberal Democrat,"Mulholland, Greg",orange
46.0,626.0,Scottish National Party,"Mullin, Roger",yellow
0.0,1.0,Conservative,"Mundell, David",blue
0.0,1.0,Labour,"Munn, Meg",red
2.0,344.0,Liberal Democrat,"Munt, Tessa",orange
